Sending: p74.962844937126;2019-04-16T12:49:29
Sending: p74.943402119764;2019-04-16T12:49:30
Sending: p74.841219998460;2019-04-16T12:49:31
Sending: p74.81585289472;2019-04-16T12:49:32
Sending: p74.834685172085;2019-04-16T12:49:33
Sending: p74.751465589195;2019-04-16T12:49:34
Sending: p74.783868268185;2019-04-16T12:49:35
Sending: p74.719892994370;2019-04-16T12:49:36
Sending: p74.789966307551;2019-04-16T12:49:37
Sending: p74.738748520699;2019-04-16T12:49:38
Sending: p74.675196357013;2019-04-16T12:49:39
Sending: p74.732558793737;2019-04-16T12:49:40
Sending: p74.649599213677;2019-04-16T12:49:41
Sending: p74.649743028322;2019-04-16T12:49:42
Sending: p74.662444610702;2019-04-16T12:49:43
Sending: p74.611364058174;2019-04-16T12:49:44
Sending: p74.522322238066;2019-04-16T12:49:45
Sending: p74.61131614263;2019-04-16T12:49:46
Sending: p74.700514642298;2019-04-16T12:49:48
Sending: p74.847467016390;2019-04-16T12:49:49
Sending: p75.161466451392;2019-04-16T12:49:50
Sending: p76.039623435742;2019-04-16T12:49:51
Sending: p76.678846101980;2019-04-16T12:49:52
Sending: p77.502595112294;2019-04-16T12:49:53
Sending: p78.449363465924;2019-04-16T12:49:54
Sending: p79.564663170432;2019-04-16T12:49:55
Sending: p80.75213121361;2019-04-16T12:49:56
Sending: p82.063567036281;2019-04-16T12:49:57
Sending: p83.512189311925;2019-04-16T12:49:58
Sending: p85.07587194985;2019-04-16T12:49:59
Sending: p86.633817489515;2019-04-16T12:50:00
Sending: p88.131502978334;2019-04-16T12:50:01
Sending: p89.920938679203;2019-04-16T12:50:02
Sending: p91.552480651289;2019-04-16T12:50:03
Sending: p93.288862283168;2019-04-16T12:50:04
Sending: p94.947214871774;2019-04-16T12:50:05
Sending: p96.663374305305;2019-04-16T12:50:06
Sending: p98.148675878910;2019-04-16T12:50:07
Sending: p99.886664736212;2019-04-16T12:50:09
Sending: p101.65048575965;2019-04-16T12:50:10
Sending: p103.05995505170;2019-04-16T12:50:11
Sending: p104.74956421937;2019-04-16T12:50:12
Sending: p106.20864228456;2019-04-16T12:50:13
Sending: p107.62496805710;2019-04-16T12:50:14
Sending: p109.04334100299;2019-04-16T12:50:15
Sending: p111.79718649463;2019-04-16T12:50:16
Sending: p113.24981437425;2019-04-16T12:50:17
Sending: p114.4995640050;2019-04-16T12:50:18
Sending: p115.72429300328;2019-04-16T12:50:19
Sending: p117.01611909964;2019-04-16T12:50:20
Sending: p118.02881250107;2019-04-16T12:50:21
Sending: p119.28729653316;2019-04-16T12:50:22
Sending: p120.236727804;2019-04-16T12:50:23
Sending: p121.24877385710;2019-04-16T12:50:24
Sending: p122.3716210046;2019-04-16T12:50:25
Sending: p123.10439941665;2019-04-16T12:50:26
Sending: p124.089643475;2019-04-16T12:50:28
Sending: p125.03956395997;2019-04-16T12:50:29
Sending: p126.0197612454;2019-04-16T12:50:30
Sending: p126.59419719360;2019-04-16T12:50:31
Sending: p127.5786715915;2019-04-16T12:50:32
Sending: p128.27877329743;2019-04-16T12:50:33
Sending: p129.05416727848;2019-04-16T12:50:34
Sending: p129.78838248070;2019-04-16T12:50:35
Sending: p130.44339910399;2019-04-16T12:50:36
Sending: p131.81394062079;2019-04-16T12:50:37
Sending: p132.34727475423;2019-04-16T12:50:38
Sending: p132.92031595361;2019-04-16T12:50:39
Sending: p133.64399693680;2019-04-16T12:50:40
Sending: p134.06302094697;2019-04-16T12:50:41
Sending: p134.43432323822;2019-04-16T12:50:42
Sending: p135.13010022370;2019-04-16T12:50:43
Sending: p135.49266345773;2019-04-16T12:50:44
Sending: p136.08212950275;2019-04-16T12:50:45
Sending: p136.39673170319;2019-04-16T12:50:46
Sending: p136.8643619817;2019-04-16T12:50:48
Sending: p137.37210914654;2019-04-16T12:50:49
Sending: p137.49984625416;2019-04-16T12:50:50
Sending: p137.90727637308;2019-04-16T12:50:51
Sending: p138.15121112933;2019-04-16T12:50:52
Sending: p138.61288520327;2019-04-16T12:50:53
Sending: p138.97379466870;2019-04-16T12:50:54
Sending: p139.24473871129;2019-04-16T12:50:55
Sending: p139.6986168490;2019-04-16T12:50:56
Sending: p139.75039347890;2019-04-16T12:50:57
Sending: p140.04986985054;2019-04-16T12:50:58
Sending: p140.32338338534;2019-04-16T12:50:59
Sending: p140.59809314112;2019-04-16T12:51:00
Sending: p141.26755088580;2019-04-16T12:51:01
Sending: p141.57074071496;2019-04-16T12:51:02
Sending: p141.83475930935;2019-04-16T12:51:03
Sending: p141.88805463821;2019-04-16T12:51:04
Sending: p142.2325143184;2019-04-16T12:51:05
Sending: p142.59149913761;2019-04-16T12:51:06
Sending: p142.81828045547;2019-04-16T12:51:07
Sending: p142.85803899247;2019-04-16T12:51:09
Sending: p143.16597370842;2019-04-16T12:51:10
Sending: p143.48740441680;2019-04-16T12:51:11
Sending: p143.31354666402;2019-04-16T12:51:12
Sending: p143.63556877897;2019-04-16T12:51:13
Sending: p143.70184570911;2019-04-16T12:51:14
Sending: p143.78327458425;2019-04-16T12:51:15
Sending: p143.94399086043;2019-04-16T12:51:16
Sending: p144.16019727156;2019-04-16T12:51:17
Sending: p144.3088446137;2019-04-16T12:51:18
Sending: p144.37606082581;2019-04-16T12:51:19
Sending: p144.56569699693;2019-04-16T12:51:20
Sending: p144.78286544886;2019-04-16T12:51:21
Sending: p144.89146046207;2019-04-16T12:51:22
Sending: p144.79643435047;2019-04-16T12:51:23
Sending: p145.13551328666;2019-04-16T12:51:24
Sending: p145.24499354375;2019-04-16T12:51:25
Sending: p145.58583351536;2019-04-16T12:51:26
Sending: p145.58583351536;2019-04-16T12:51:28
Sending: p145.55870211428;2019-04-16T12:51:29
Sending: p145.94239048018;2019-04-16T12:51:30
Sending: p145.80432675611;2019-04-16T12:51:31
Sending: p145.83217019370;2019-04-16T12:51:32
Sending: p145.95534340516;2019-04-16T12:51:33
Sending: p146.1059894902;2019-04-16T12:51:34
Sending: p146.0650216502;2019-04-16T12:51:35
Sending: p146.25767247211;2019-04-16T12:51:36
Sending: p146.00998231109;2019-04-16T12:51:37
Sending: p146.24346531521;2019-04-16T12:51:38
Sending: p146.38100637394;2019-04-16T12:51:39
Sending: p146.29842505677;2019-04-16T12:51:40
Sending: p146.24337139742;2019-04-16T12:51:41
Sending: p146.24318355633;2019-04-16T12:51:42
Sending: p146.2851524308;2019-04-16T12:51:43
Sending: p146.35359820738;2019-04-16T12:51:44
Sending: p146.31216896621;2019-04-16T12:51:45
Sending: p146.32619636693;2019-04-16T12:51:46
Sending: p146.31273269904;2019-04-16T12:51:48
Sending: p146.45035385568;2019-04-16T12:51:49
Sending: p146.6007821449;2019-04-16T12:51:50
Sending: p146.62937733999;2019-04-16T12:51:51
Sending: p146.56030205225;2019-04-16T12:51:52
Sending: p146.56011382691;2019-04-16T12:51:53
Sending: p146.65637828789;2019-04-16T12:51:54
Sending: p146.66997524490;2019-04-16T12:51:55
Sending: p146.97422289466;2019-04-16T12:51:56
Sending: p146.83561797655;2019-04-16T12:51:57
Sending: p146.69764488550;2019-04-16T12:51:58
Sending: p146.96021360662;2019-04-16T12:51:59
Sending: p146.82200204784;2019-04-16T12:52:00
Sending: p146.91866727483;2019-04-16T12:52:01
Sending: p146.83571227277;2019-04-16T12:52:02
Sending: p146.946300313;2019-04-16T12:52:03
Sending: p146.80791629202;2019-04-16T12:52:04
Sending: p146.6703520008;2019-04-16T12:52:05
Sending: p147.09801869524;2019-04-16T12:52:07
Sending: p146.90381532919;2019-04-16T12:52:08
Sending: p147.11204416198;2019-04-16T12:52:09
Sending: p146.94620594806;2019-04-16T12:52:10
Sending: p147.16721730647;2019-04-16T12:52:11
Sending: p147.09820763050;2019-04-16T12:52:12
Sending: p147.08475051558;2019-04-16T12:52:13
Sending: p147.18153443364;2019-04-16T12:52:14
Sending: p146.97384537342;2019-04-16T12:52:15
Sending: p147.12626021691;2019-04-16T12:52:16
Sending: p147.13972203728;2019-04-16T12:52:17
Sending: p147.30564032951;2019-04-16T12:52:18
Sending: p147.22260508381;2019-04-16T12:52:19
Sending: p147.40288756266;2019-04-16T12:52:20
Sending: p147.09792422484;2019-04-16T12:52:21
Sending: p147.40269823224;2019-04-16T12:52:22
Sending: p147.20856664625;2019-04-16T12:52:23
