Sending: p2019-03-01T15:09:55;
Sending: p2019-03-01T15:09:56;
Sending: p2019-03-01T15:09:57;
Sending: p2019-03-01T15:09:58;
Sending: p2019-03-01T15:10:00;
Sending: p2019-03-01T15:10:01;
Sending: p2019-03-01T15:10:02;
Sending: p2019-03-01T15:10:03;
Sending: p2019-03-01T15:10:04;
Sending: p2019-03-01T15:10:05;
Sending: p2019-03-01T15:10:06;
Sending: p2019-03-01T15:10:07;
Sending: p2019-03-01T15:10:08;
Sending: p2019-03-01T15:10:09;
Sending: p2019-03-01T15:10:10;
Sending: p2019-03-01T15:10:11;
Sending: p2019-03-01T15:10:12;
Sending: p2019-03-01T15:10:13;
Sending: p2019-03-01T15:10:14;
Sending: p2019-03-01T15:10:16;
Sending: p2019-03-01T15:10:17;
Sending: p2019-03-01T15:10:18;
Sending: p2019-03-01T15:10:19;
Sending: p2019-03-01T15:10:20;
Sending: p2019-03-01T15:10:21;
Sending: p2019-03-01T15:10:22;
Sending: p2019-03-01T15:10:23;
Sending: p2019-03-01T15:10:24;
Sending: p2019-03-01T15:10:25;
Sending: p2019-03-01T15:10:26;
Sending: p2019-03-01T15:10:27;
Valve PWM: 02019-03-01T15:10:28;
Sending: p2019-03-01T15:10:28;
Sending: p2019-03-01T15:10:29;
Sending: p2019-03-01T15:10:31;
Sending: p2019-03-01T15:10:32;
Sending: p2019-03-01T15:10:33;
Sending: p2019-03-01T15:10:34;
Sending: p2019-03-01T15:10:35;
Sending: p2019-03-01T15:10:36;
Sending: p2019-03-01T15:10:37;
Sending: p2019-03-01T15:10:38;
Sending: p2019-03-01T15:10:39;
Sending: p2019-03-01T15:10:40;
Sending: p2019-03-01T15:10:41;
Sending: p2019-03-01T15:10:42;
Sending: p2019-03-01T15:10:43;
Sending: p2019-03-01T15:10:44;
Sending: p2019-03-01T15:10:46;
Sending: p2019-03-01T15:10:47;
Sending: p2019-03-01T15:10:48;
Sending: p2019-03-01T15:10:49;
Sending: p2019-03-01T15:10:50;
Sending: p2019-03-01T15:10:51;
Sending: p2019-03-01T15:10:52;
Sending: p2019-03-01T15:10:53;
Sending: p2019-03-01T15:10:54;
Sending: p2019-03-01T15:10:55;
Sending: p2019-03-01T15:10:56;
