Dbg: 20576976 - 3856 | 560 496 132019-03-01T15:39:02;
Connected: COM2019-03-01T15:39:04;
Sending: p122.973952792322019-03-01T15:45:00;
Sending: p123.069568914762019-03-01T15:45:01;
Sending: p123.112324909022019-03-01T15:45:02;
Sending: p123.06953618122019-03-01T15:45:03;
Sending: p123.027091523212019-03-01T15:45:04;
Sending: p123.048328136082019-03-01T15:45:05;
Sending: p123.016376618612019-03-01T15:45:06;
Sending: p123.005957220752019-03-01T15:45:07;
Sending: p123.112062973982019-03-01T15:45:08;
Sending: p123.059078920792019-03-01T15:45:09;
Sending: p123.037709308992019-03-01T15:45:10;
Sending: p123.16520400052019-03-01T15:45:11;
Sending: p123.080256337292019-03-01T15:45:13;
Sending: p123.133414504182019-03-01T15:45:14;
Sending: p123.144108218552019-03-01T15:45:15;
Sending: p123.175999133272019-03-01T15:45:16;
Sending: p123.133414504182019-03-01T15:45:17;
Sending: p123.069699842222019-03-01T15:45:18;
Sending: p123.165335029732019-03-01T15:45:19;
Sending: p123.11216120442019-03-01T15:45:20;
Sending: p123.144140967942019-03-01T15:45:21;
Sending: p123.186598762892019-03-01T15:45:22;
Sending: p123.1441737162019-03-01T15:45:23;
Sending: p123.080190866622019-03-01T15:45:24;
Sending: p123.165302273392019-03-01T15:45:25;
Sending: p123.048197220932019-03-01T15:45:26;
Sending: p123.154671974192019-03-01T15:45:27;
Sending: p123.218534957322019-03-01T15:45:28;
Sending: p123.069667111322019-03-01T15:45:29;
Sending: p123.144042717832019-03-01T15:45:30;
Sending: p123.154770232782019-03-01T15:45:31;
Sending: p123.186533238272019-03-01T15:45:33;
Sending: p123.080256337292019-03-01T15:45:34;
Sending: p123.176064648372019-03-01T15:45:35;
Sending: p123.154639220042019-03-01T15:45:36;
Sending: p123.144108218552019-03-01T15:45:37;
Sending: p123.144140967942019-03-01T15:45:38;
Sending: p123.069896214122019-03-01T15:45:39;
Sending: p123.091043016212019-03-01T15:45:40;
Sending: p123.122918309352019-03-01T15:45:41;
Sending: p123.133414504182019-03-01T15:45:42;
Sending: p123.069667111322019-03-01T15:45:43;
Sending: p123.08035453842019-03-01T15:45:44;
Sending: p123.090879336672019-03-01T15:45:45;
Sending: p123.176097404962019-03-01T15:45:46;
Sending: p123.048491765562019-03-01T15:45:47;
Sending: p123.154671974192019-03-01T15:45:48;
Sending: p123.059111648222019-03-01T15:45:49;
Sending: p123.133414504182019-03-01T15:45:50;
Sending: p123.037872924342019-03-01T15:45:51;
Sending: p123.037872924342019-03-01T15:45:52;
Sending: p123.133414504182019-03-01T15:45:53;
Sending: p123.133381755682019-03-01T15:45:55;
Sending: p123.122885566252019-03-01T15:45:56;
Sending: p123.122918309352019-03-01T15:45:57;
Sending: p123.069667111322019-03-01T15:45:58;
Sending: p122.995244412332019-03-01T15:45:59;
Sending: p123.16520400052019-03-01T15:46:00;
Sending: p123.080289071662019-03-01T15:46:01;
Sending: p123.143977214542019-03-01T15:46:02;
Sending: p123.154802984362019-03-01T15:46:03;
Sending: p123.059078920792019-03-01T15:46:04;
Sending: p123.112095718112019-03-01T15:46:05;
Sending: p123.0484263152019-03-01T15:46:06;
Sending: p123.144075468512019-03-01T15:46:07;
