Dbg: 20445184 - 3856 | 560 496 132019-03-01T13:54:58;
Connected: COM2019-03-01T13:54:59;
Sending: p144.544396864992019-03-01T13:59:49;
Sending: p144.569846346302019-03-01T13:59:50;
Sending: p144.531366424632019-03-01T13:59:51;
Sending: p144.582842394522019-03-01T13:59:52;
Sending: p144.659577247352019-03-01T13:59:53;
Sending: p144.56988481822019-03-01T13:59:54;
Sending: p144.48041189922019-03-01T13:59:55;
Sending: p144.505924961192019-03-01T13:59:56;
Sending: p144.685166233822019-03-01T13:59:57;
Sending: p144.633878148282019-03-01T13:59:58;
Sending: p144.620876666922019-03-01T14:00:00;
Sending: p144.621261526462019-03-01T14:00:01;
Sending: p144.55708247612019-03-01T14:00:02;
Sending: p144.685281737152019-03-01T14:00:03;
Sending: p144.72365603362019-03-01T14:00:04;
Sending: p144.646688531672019-03-01T14:00:05;
Sending: p144.736552846572019-03-01T14:00:06;
Sending: p144.582842394522019-03-01T14:00:07;
Sending: p144.749335462912019-03-01T14:00:08;
Sending: p144.749219906152019-03-01T14:00:09;
Sending: p144.608415329192019-03-01T14:00:10;
Sending: p144.736552846572019-03-01T14:00:11;
Sending: p144.723771565392019-03-01T14:00:12;
Sending: p144.570038698462019-03-01T14:00:13;
Sending: p144.723733055562019-03-01T14:00:14;
Sending: p144.787768383882019-03-01T14:00:15;
Sending: p144.775020276812019-03-01T14:00:16;
Sending: p144.723694544982019-03-01T14:00:17;
Sending: p144.736629872292019-03-01T14:00:18;
Sending: p144.710914607112019-03-01T14:00:19;
Sending: p144.826367528122019-03-01T14:00:20;
Sending: p144.813538330542019-03-01T14:00:21;
Sending: p144.659615741642019-03-01T14:00:23;
Sending: p144.723579008682019-03-01T14:00:24;
Sending: p144.59572438022019-03-01T14:00:25;
Sending: p144.633955125502019-03-01T14:00:26;
Sending: p144.659654235172019-03-01T14:00:27;
Sending: p144.634070585642019-03-01T14:00:28;
Sending: p144.582765449112019-03-01T14:00:29;
Sending: p144.813499796832019-03-01T14:00:30;
Sending: p144.608376849292019-03-01T14:00:31;
Sending: p144.608376849292019-03-01T14:00:32;
Sending: p144.493244662152019-03-01T14:00:33;
Sending: p144.557236342722019-03-01T14:00:34;
Sending: p144.582880866092019-03-01T14:00:35;
Sending: p144.531751022992019-03-01T14:00:36;
Sending: p144.557236342722019-03-01T14:00:37;
Sending: p144.544319938512019-03-01T14:00:38;
Sending: p144.544243009002019-03-01T14:00:39;
Sending: p144.441960117422019-03-01T14:00:40;
Sending: p144.480450344372019-03-01T14:00:41;
Sending: p144.442075424302019-03-01T14:00:42;
Sending: p144.467695806512019-03-01T14:00:44;
Sending: p144.339762774402019-03-01T14:00:45;
Sending: p144.314169192302019-03-01T14:00:46;
Sending: p144.263074882392019-03-01T14:00:47;
Sending: p144.352580781042019-03-01T14:00:48;
Sending: p144.326907704992019-03-01T14:00:49;
Sending: p144.263113270412019-03-01T14:00:50;
Sending: p144.288811331442019-03-01T14:00:51;
Sending: p144.339609136232019-03-01T14:00:52;
Sending: p144.454865725622019-03-01T14:00:53;
Sending: p144.199352160742019-03-01T14:00:54;
Sending: p144.212193810442019-03-01T14:00:55;
Sending: p144.250381413452019-03-01T14:00:56;
Sending: p144.224921683652019-03-01T14:00:57;
Sending: p144.301355211452019-03-01T14:00:58;
Sending: p144.19942889752019-03-01T14:00:59;
Sending: p144.276000016782019-03-01T14:01:00;
Sending: p144.288696153802019-03-01T14:01:01;
Sending: p144.288580969362019-03-01T14:01:02;
Sending: p144.326984515772019-03-01T14:01:03;
Sending: p144.32713812822019-03-01T14:01:05;
Sending: p144.199313791222019-03-01T14:01:06;
Sending: p144.109920145252019-03-01T14:01:07;
Sending: p144.250343029592019-03-01T14:01:08;
Sending: p144.301432008632019-03-01T14:01:09;
Sending: p144.36547695602019-03-01T14:01:10;
Sending: p144.276038405172019-03-01T14:01:11;
Sending: p144.186396751362019-03-01T14:01:12;
