Dbg: 18939664 - 3856 | 560 496 132019-02-25T16:05:24;
Connected: COM2019-02-25T16:05:27;
Sending: p668.620726333662019-02-25T16:08:25;
Sending: p720.444088235952019-02-25T16:08:26;
Sending: p658.180470658192019-02-25T16:08:27;
Sending: p706.596936292212019-02-25T16:08:29;
Sending: p645.206789766912019-02-25T16:08:30;
Sending: p688.372326266382019-02-25T16:08:31;
Sending: p714.793889354642019-02-25T16:08:32;
Sending: p650.197532223812019-02-25T16:08:33;
Sending: p711.987617510952019-02-25T16:08:34;
Sending: p709.915893138882019-02-25T16:08:35;
Sending: p643.367967249992019-02-25T16:08:36;
Sending: p716.61023799002019-02-25T16:08:37;
Sending: p702.141940113982019-02-25T16:08:38;
Sending: p717.155878538642019-02-25T16:08:39;
Sending: p713.252773904402019-02-25T16:08:40;
Sending: p656.541729340312019-02-25T16:08:41;
Sending: p706.597772148072019-02-25T16:08:42;
Sending: p662.546944365082019-02-25T16:08:43;
Sending: p652.710044302922019-02-25T16:08:44;
Sending: p644.486254835082019-02-25T16:08:45;
Sending: p667.785351802252019-02-25T16:08:46;
Sending: p650.035212130032019-02-25T16:08:47;
Sending: p657.934943196282019-02-25T16:08:48;
Sending: p667.366638807982019-02-25T16:08:49;
Sending: p701.786682433982019-02-25T16:08:50;
Sending: p653.035269664602019-02-25T16:08:52;
Sending: p717.70287274592019-02-25T16:08:53;
Sending: p676.286137249202019-02-25T16:08:54;
Sending: p692.198022669522019-02-25T16:08:55;
Sending: p703.474352555522019-02-25T16:08:56;
Sending: p705.703199838112019-02-25T16:08:57;
Sending: p679.517500336252019-02-25T16:08:58;
Sending: p706.686719842042019-02-25T16:08:59;
Sending: p693.596170083842019-02-25T16:09:00;
Sending: p706.060362687562019-02-25T16:09:01;
Sending: p687.940044290252019-02-25T16:09:02;
Sending: p658.507909458232019-02-25T16:09:03;
Sending: p688.459147992422019-02-25T16:09:04;
Sending: p713.433901996412019-02-25T16:09:05;
Sending: p734.34017417042019-02-25T16:09:06;
Sending: p729.021263722332019-02-25T16:09:07;
Sending: p684.658960625602019-02-25T16:09:08;
Sending: p666.782583397792019-02-25T16:09:09;
Sending: p710.545898319952019-02-25T16:09:10;
Sending: p678.664155956022019-02-25T16:09:11;
Sending: p666.782110060322019-02-25T16:09:12;
Sending: p633.872517989532019-02-25T16:09:14;
Sending: p738.572337187502019-02-25T16:09:15;
Sending: p687.160002308942019-02-25T16:09:16;
Sending: p671.976662812122019-02-25T16:09:17;
Sending: p719.163264144992019-02-25T16:09:18;
Sending: p669.624626118622019-02-25T16:09:19;
Sending: p662.381668935002019-02-25T16:09:20;
Sending: p659.084443769502019-02-25T16:09:21;
Sending: p667.367270422562019-02-25T16:09:22;
Sending: p646.089380183992019-02-25T16:09:23;
Sending: p686.555054548022019-02-25T16:09:24;
Sending: p680.541265625032019-02-25T16:09:25;
Sending: p667.199431977902019-02-25T16:09:26;
Sending: p712.529156417922019-02-25T16:09:27;
Sending: p733.685330229492019-02-25T16:09:28;
Sending: p728.557288902312019-02-25T16:09:29;
Sending: p697.104567393202019-02-25T16:09:30;
Sending: p683.111538137992019-02-25T16:09:31;
Sending: p641.534121348922019-02-25T16:09:32;
Sending: p664.453487934162019-02-25T16:09:33;
Sending: p681.225835576292019-02-25T16:09:34;
Sending: p663.458030406852019-02-25T16:09:35;
Sending: p681.226641451282019-02-25T16:09:36;
Sending: p635.286002115342019-02-25T16:09:38;
Sending: p687.765759132522019-02-25T16:09:39;
Sending: p664.61923264092019-02-25T16:09:40;
Sending: p664.785184762392019-02-25T16:09:41;
Sending: p665.283814764602019-02-25T16:09:42;
Sending: p683.196909813472019-02-25T16:09:43;
Sending: p704.809833922932019-02-25T16:09:44;
