Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p400.561438553362019-02-25T15:49:35;
Sending: p401.144451404282019-02-25T15:49:36;
Sending: p409.929520122652019-02-25T15:49:37;
Sending: p415.089745190962019-02-25T15:49:38;
Sending: p408.916501606062019-02-25T15:49:39;
Sending: p404.711487680902019-02-25T15:49:40;
Sending: p405.393896740882019-02-25T15:49:41;
Sending: p397.659531386482019-02-25T15:49:42;
Sending: p404.62144879962019-02-25T15:49:43;
Sending: p402.404353472792019-02-25T15:49:44;
Sending: p426.909266788932019-02-25T15:49:45;
Sending: p424.397660532732019-02-25T15:49:46;
Sending: p408.870225184232019-02-25T15:49:47;
Sending: p418.195560160402019-02-25T15:49:48;
Sending: p409.837758348022019-02-25T15:49:49;
Sending: p422.716257062072019-02-25T15:49:50;
Sending: p413.221355740022019-02-25T15:49:51;
Sending: p402.044020916342019-02-25T15:49:52;
Sending: p415.183152058332019-02-25T15:49:54;
Sending: p434.506532396372019-02-25T15:49:55;
Sending: p436.992236068492019-02-25T15:49:56;
Sending: p430.319649468082019-02-25T15:49:57;
Sending: p414.715199018402019-02-25T15:49:58;
Sending: p414.06074178042019-02-25T15:49:59;
Sending: p417.345473022192019-02-25T15:50:00;
Sending: p426.23131417472019-02-25T15:50:01;
Sending: p435.697341455282019-02-25T15:50:02;
Sending: p418.479724832382019-02-25T15:50:03;
Sending: p418.66834239862019-02-25T15:50:04;
Sending: p413.267651039922019-02-25T15:50:05;
Sending: p434.110482522272019-02-25T15:50:06;
Sending: p418.858154253452019-02-25T15:50:07;
Sending: p423.723996029742019-02-25T15:50:08;
Sending: p438.241982599412019-02-25T15:50:09;
Sending: p415.793041624332019-02-25T15:50:10;
Sending: p417.298516573872019-02-25T15:50:11;
Sending: p419.284327876232019-02-25T15:50:12;
Sending: p427.880558179372019-02-25T15:50:13;
Sending: p435.647940887182019-02-25T15:50:15;
Sending: p423.387655706582019-02-25T15:50:16;
Sending: p426.182723542702019-02-25T15:50:17;
Sending: p421.711856397522019-02-25T15:50:18;
Sending: p460.434545845242019-02-25T15:50:19;
Sending: p428.659380766622019-02-25T15:50:20;
Sending: p425.602681392862019-02-25T15:50:21;
Sending: p419.3792928072019-02-25T15:50:22;
Sending: p431.98852476452019-02-25T15:50:23;
Sending: p425.361341708932019-02-25T15:50:24;
Sending: p439.345510810902019-02-25T15:50:25;
Sending: p447.985910860882019-02-25T15:50:26;
Sending: p447.93437353132019-02-25T15:50:27;
Sending: p441.057284484722019-02-25T15:50:28;
Sending: p427.831939408022019-02-25T15:50:29;
Sending: p424.156155771552019-02-25T15:50:30;
Sending: p442.62483571352019-02-25T15:50:31;
Sending: p417.722643073122019-02-25T15:50:32;
Sending: p460.593924014942019-02-25T15:50:33;
Sending: p428.561932930822019-02-25T15:50:35;
Sending: p460.062417652612019-02-25T15:50:36;
Sending: p442.625045088182019-02-25T15:50:37;
